"We offer a range of solutions to help our clients meet their sustainability objectives, environmental, social and governance (ESG)
regulatory requirements or voluntary commitments.",ESG
"We are committed to:
•
Increasing diversity, including gender, racial and ethnic diversity, across all levels of the organization;",ESG
"We have also developed a number of leadership development and
mentoring programs, including our Global Operations Leadership Development and our Leadership Direct programs for high potential talent
and our programs designed to increase gender diversity in our leadership ranks, such as our Pay it Forward and Women’s Leadership
initiatives.",ESG
Corporate social responsibility,ESG
"Our approach to corporate social responsibility focuses on two new pillars tied to our purpose: Better Access, which reflects our aim",ESG
Wage increases in the countries where we operate may reduce our profit margin.,Profit
"If we fail to estimate accurately
future wage inflation rates, currency exchange rates or our costs, or if we fail to accurately estimate the productivity benefits we can achieve
under a contract, it could have a material adverse effect on our business, results of operations and financial condition.",Profit
"This has resulted in and is expected to continue to result in downward pressure on our gross
margins and operating income.",Profit
"Our results of operations have been adversely affected and could be further adversely affected by certain movements in exchange rates,",Profit
"In 2022, we continued to invest for long-term growth following a strategy focused on delivering differentiated, domain-led solutions in",Revenue
"Our growth strategy focuses on responding to these types of
developments by driving innovation that will enable us to expand our business into new growth areas.",Revenue
Growth in,Revenue
"Additional risks and
uncertainties not known to us or that we deem less significant may also impair our business.",Risk
Risks Related to our Business and Operations,Risk
"•
Our partnerships, alliances and relationships with third-party suppliers and contractors and other third parties with whom we do
business expose us to a variety of risks that could have a material adverse effect on our business.",Risk
"•
We face legal, reputational and financial risks from any failure to protect client, Genpact or employee data from security incidents or
cyberattacks.",Risk
"•
Our global operations expose us to numerous and sometimes conflicting legal and regulatory requirements, and violations of these laws
and regulations could harm our business.",Risk
Enterprise risk and compliance: operational risk and controls across a wide range of regulatory environments.,Risk
Risks Related to our Business and Operations,Risk
"In certain cases, we have committed to pricing over this period with only limited sharing of risk regarding inflation and currency exchange
rates.",Risk
with whom we do business expose us to a variety of risks that could have a material adverse effect on our business.,Risk
"us to a variety of risks that could have a material adverse effect on our business, and we may not be successful in mitigating such risks.",Risk
"We face legal, reputational and financial risks from any failure to protect client, Genpact or employee data from",Risk
"We have established security
measures and internal controls to prevent the inadvertent or intentional exposure or loss of personally identifiable information, and we
regularly assess the adequacy of and make improvements to such controls.",Risk
"products, services and software, may contain or introduce cybersecurity threats or vulnerabilities to our clients’ information technology
networks, intentionally or unintentionally.",Risk
The threat of incursion into our information systems and technology infrastructure has increased and evolved in recent years with the,Risk
"We may be unable to anticipate the techniques used by threat actors to invade our systems and
may not detect when an incursion has occurred or implement adequate preventative and responsive measures.",Risk
"The steps we have taken to protect our information systems and data security
may be inadequate.",Risk
"Our inability to enforce physical security controls and monitor our employees
working remotely also increases the risk of data breaches.",Risk
"These regulatory requirements impose administrative costs and regulatory enforcement risks and
remain subject to frequent changes that could disrupt cross-border transfers of personal data.",Risk
"We are subject to several risks associated with having a substantial portion of our assets, employees and operations located in India.",Risk
These events also pose significant risks to our people and to our delivery centers and operations around the world.,Risk
"Achievement of future results is subject to risks, uncertainties, and
potentially inaccurate assumptions.",Risk management
"•
We may engage in strategic transactions that could create risks.",Risk management
Risk Factors,Risk management
"We may be unable to anticipate the techniques used by threat actors to invade our systems and
may not detect when an incursion has occurred or implement adequate preventative and responsive measures.",Risk management
"Supply chain, sourcing and procurement and sales and commercial services",Supplier engagement
We are also passionate about working collectively to reduce our carbon footprint.,Sustainability
"Further, defending against these claims can involve potentially significant costs, including legal defense
costs.",Not_cost
"If we are unable to successfully adjust pricing, reduce costs or implement other countermeasures, our profitability could
be materially adversely affected.",Not_cost
"The substance requirements could be difficult to manage or implement, and compliance with the
requirements could be difficult or costly and could have a material adverse effect on us or our operations.",Not_cost
expenses.,Not_cost
price to decline.,Not_cost
A portion of our business depends on the ability of our employees to obtain the necessary visas and work or entry permits to travel to,Not-E-Sat
"Directors of a Bermuda company must, in exercising their powers and performing their duties, act honestly and in good faith with a view to
the best interests of the company, exercising the care and skill that a reasonably prudent person would exercise in comparable circumstances.",Not-E-Sat
If employees at any of our delivery centers become eligible for union,Not-E-Sat
"If more stringent labor laws become applicable to us or if our employees unionize, our profitability may be",Not-E-Sat
"In
addition, these matters divert management and personnel resources away from operating our business.",Not-E-Sat
"In addition, some of our competitors who do not have global
delivery capabilities may expand their delivery centers to the countries in which we are located which could result in increased competition
for employees and could reduce our competitive advantage.",Not-E-Sat
It is our practice to enter into agreements with our employees and independent contractors that:,Not-E-Sat
"Our industry relies on large numbers of skilled employees, and our success and profitability depend on our ability to attract, train and",Not-E-Sat
Our senior leadership team is critical to our continued success and the loss of such personnel could harm our,Not-E-Sat
"Piyush Mehta has served as our Senior Vice President, Chief Human Resources Officer since March 2005.",Not-E-Sat
"Under a Rule 10b5-1 plan, a broker executes trades pursuant to parameters established by the employee,
director or officer when entering into the plan, without further direction from the employee, officer or director.",Not-E-Sat
"Unresolved Staff Comments
39",Not-E-Sat
"We have over 118,900 employees serving clients in key industry verticals from more than 35 countries.",Not-E-Sat
"We try to control increases in entry-level wages by implementing innovative recruitment policies, utilizing continuous training",Not-E-Sat
"clients get dedicated employees and management, as well as dedicated infrastructure at our delivery centers.",Not-E-Sat
"employees with the mix of skills and experience that we need to provide certain of our services, have increased significantly from historical
levels.",Not-E-Sat
"our employee volunteers participated in virtual volunteering initiatives such as composting, planting saplings, or eliminating single-use
plastic.",Not-E-Sat
retain a sufficient number of employees with the right mix of skills and experience to perform services for our clients.,Not-E-Sat
"since 2001, initially as Vice President of Human Resources.",Not-E-Sat
"•
Our senior leadership team is critical to our continued success and the loss of such personnel could harm our business.",Not-E-Sat
"•
addition or loss of executive officers or key employees;",Not-E-Sat
"•
provide for employees’ and independent contractors’ cooperation in intellectual property protection matters even if they no
longer work for us; and",Not-E-Sat
"•
unionization of any of our employees.",Not-E-Sat
"If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting",Not growth
"Indicate by check mark whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, a smaller reporting company, or an emerging growth company.",Not growth
"Large Accelerated Filer
☒
Accelerated Filer 
☐
Non-accelerated Filer
☐
Smaller Reporting Company
☐
Emerging Growth Company
☐",Not growth
We operate in a highly competitive and rapidly evolving global market.,Not growth
"•
announcements of technological developments;",Not growth
"•
technological innovation;",Not growth
Competition,Not revenue
"Even if we succeed in developing a relationship with a potential new client and begin to plan the services in detail, a potential client
may choose a competitor or decide to retain the work in-house prior to the time a final contract is signed.",Not revenue
"From February 2005 to February 2009, he was our Executive Vice President and Head of Sales, Marketing and
Business Development.",Not revenue
"Growth in the markets we serve could be at a slow rate, or could stagnate or contract, in each case, for an extended period of
time.",Not revenue
"In order to protect our rights in these various
intellectual properties, we rely upon a combination of nondisclosure and other contractual arrangements as well as patent, trade secret,
copyright and trademark laws.",Not revenue
"Over
the past several years, our services have evolved from focusing mainly on improving cost and efficiencies to driving meaningful business
outcomes for our clients, including growth and better decision-making using our strategic insights.",Not revenue
Partnerships and alliances,Not revenue
"Prior to joining Genpact, Ms. Stein was
at Mercer for six years, most recently as a Partner and Market Business Leader.",Not revenue
Sales and marketing,Not revenue
"These organizations seek partners that can improve productivity while creating competitive advantages and driving business outcomes,",Not revenue
"definitions of “large accelerated filer,” “accelerated filer,” “smaller reporting company,” and “emerging growth company” in Rule 12b-2 of the Exchange Act.",Not revenue
primarily due to increased deal ramp-ups from existing contracts and new deal wins.,Not revenue
"secret, copyright and trademark laws offer only limited protection.",Not revenue
"•
our ability to win new clients and engagements;",Not revenue
"Acquisitions, including completed acquisitions, also pose the risk that any business we acquire may lose clients or employees or could",Not risk
"Changes in these laws and regulations and inconsistencies in the standards
that apply to our business in different jurisdictions may impose significant compliance costs, reduce the efficiency of our operations, and
expose us to enforcement risks.",Not risk
"EU regulators have adopted revised standard contractual clauses that add requirements for
transferring EU personal data to other jurisdictions, which may increase compliance and operational costs and legal risks and liabilities of
that data transfer mechanism.",Not risk
"Evolving laws
and regulations in India protecting the use of personal information could also impact how we handle vendor and employee data in India and
may require us to develop new controls governing the processing of employee data.",Not risk
"However, our ability to hedge such risks is limited by local law, the liquidity of
the market for such hedges and other practical considerations.",Not risk
"If we fail to comply with any applicable laws and regulations, we may face restrictions on our ability to provide services, and may also",Not risk
"In addition, we are regularly alerted to vulnerabilities in third-party technology components we use in our business that
create vulnerabilities in our environments.",Not risk
"In addition, we may not be able to prevent others from using our data and proprietary information to compete with us.",Not risk
"Our employees, subcontractors, agents, joint venture partners, the companies we
acquire and their employees, subcontractors and agents, and other third parties with which we associate, could take actions that violate
policies or procedures designed to promote legal and regulatory compliance or applicable anticorruption laws or regulations.",Not risk
Risks Related to our Shares,Not risk
SUMMARY OF RISK FACTORS,Not risk
See Item 7A—“Quantitative and Qualitative Disclosures about Market Risk.”,Not risk
"The proportion of our workforce working remotely since the onset of the COVID-19 pandemic
has reduced our ability to enforce physical security controls and monitor employee conduct and has increased the risk that our employees will
engage in impermissible conduct, which could give rise to reputational harm and legal liability, and our insurance policies may not cover all
claims or indemnify us for all liability to which we are exposed.",Not risk
"There can be no assurance that the laws, rules, regulations and treaties in effect in the
United States, India and the other jurisdictions in which we operate and the contractual and other protective measures we take, are adequate
to protect us from misappropriation or unauthorized use of our intellectual property, or that such laws will not change.",Not risk
"We compete for employees not only with other companies in our industry but also with companies in other industries, such as
software services, engineering services and financial services companies.",Not risk
We may engage in strategic transactions that could create risks.,Not risk
"We provide financial crime and risk management services in areas such as
fraud and dispute management, anti-money laundering, transaction monitoring, KYC and due diligence, sanctions screening, negative media
monitoring and platform implementation.",Not risk
"While we have developed and implemented security measures and internal controls designed to prevent, detect and respond to cyber",Not risk
"and other security threats and incidents, such measures cannot guarantee security and may not be successful in preventing security breaches
or in their timely detection or effective response.",Not risk
contracts or our internal controls or policies.,Not risk
"damage to telecommunications cables, computer glitches and electronic viruses, or human-caused events such as protests, riots, labor unrest
and cyberattacks.",Not risk
"from both traditional banks and other financial services clients for our risk management services, which leverage data and analytics.",Not risk
"have risks associated with their scope and complexities, including our reliance on alliance partners and other third-party service providers in
implementing and delivering these projects.",Not risk
"providers and software vendors, generally face similar cybersecurity threats, and we must rely on the safeguards adopted by these parties.",Not risk
requiring notice to individuals of security breaches of information involving personally identifiable information.,Not risk
violations of these laws and regulations could harm our business.,Not risk
